,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
337,TYR,"Tyler, TX: Tyler Pounds Regional",105.0,13.0,0.15,0.32,9.05,0.0,3.48,3.0,1.0,541.0,6.0,56.0,252.0,0.0,227.0
338,TYS,"Knoxville, TN: McGhee Tyson",682.0,96.0,40.91,3.6799999999999997,22.27,0.0,29.130000000000003,3.0,4.0,5749.0,2855.0,161.0,933.0,0.0,1800.0
339,USA,"Concord, NC: Concord Padgett Regional",81.0,16.0,3.15,0.0,7.29,0.0,5.56,0.0,0.0,1055.0,71.0,0.0,751.0,0.0,233.0
340,VCT,"Victoria, TX: Victoria Regional",53.0,6.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,1760.0,1614.0,58.0,0.0,0.0,88.0
341,VEL,"Vernal, UT: Vernal Regional",53.0,6.0,2.0,3.0,0.0,0.0,1.0,3.0,4.0,346.0,61.0,224.0,0.0,0.0,61.0
342,VLD,"Valdosta, GA: Valdosta Regional",91.0,6.0,1.81,0.0,2.96,0.0,1.23,0.0,0.0,125.0,33.0,0.0,57.0,0.0,35.0
343,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",573.0,52.0,16.96,2.29,20.05,0.0,12.7,7.0,1.0,3855.0,1863.0,218.0,797.0,0.0,977.0
344,WRG,"Wrangell, AK: Wrangell Airport",60.0,11.0,0.29,1.0,2.9,0.0,6.81,5.0,1.0,355.0,15.0,16.0,75.0,0.0,249.0
345,XNA,"Fayetteville, AR: Northwest Arkansas Regional",521.0,57.0,24.33,3.88,14.379999999999999,0.0,14.419999999999998,6.0,6.0,2872.0,925.0,141.0,1290.0,0.0,516.0
346,XWA,"Williston, ND: Williston Basin International",57.0,7.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,316.0,237.0,0.0,0.0,0.0,79.0
347,YAK,"Yakutat, AK: Yakutat Airport",60.0,9.0,0.99,0.0,5.51,0.0,2.5,5.0,6.0,373.0,32.0,0.0,150.0,0.0,191.0
348,YUM,"Yuma, AZ: Yuma MCAS/Yuma International",155.0,17.0,10.09,0.0,0.0,0.0,6.91,1.0,0.0,1910.0,1205.0,0.0,0.0,0.0,705.0
